Age,2,3,4,5,6,7,8,9,10,11,12,13
AA,62.5,64.5,63.9,64.8,63.8,64.2,64.2,63.0,62.9,62.1,63.8,61.6
ABS,59.7,60.0,59.9,59.9,60.0,60.1,60.2,60.2,60.2,60.0,60.1,59.9
ARC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6,76.1
CC,58.8,0.0,60.5,58.2,47.0,57.5,58.2,0.0,72.0,54.2,50.5,57.7
LAB,0.0,0.0,0.0,0.0,0.0,0.0,58.3,0.0,0.0,81.5,0.0,0.0
NM,58.6,58.7,58.9,61.6,59.2,60.4,60.6,62.4,61.3,61.9,62.5,61.1
O,0.0,0.0,80.8,0.0,0.0,0.0,0.0,0.0,81.5,69.8,72.5,63.3
P,62.8,62.4,62.6,62.6,63.0,63.2,63.1,62.7,62.8,62.9,63.0,63.8
PDG,59.3,59.6,59.7,58.6,59.1,59.1,59.1,58.5,58.8,58.7,59.1,59.5
PRM,0.0,0.0,0.0,72.9,76.5,77.5,0.0,72.8,72.7,74.3,73.8,74.6
PROJ,0.0,74.9,0.0,74.9,93.3,85.9,78.7,78.3,73.5,73.7,74.5,72.2
PWR,59.4,61.9,58.7,63.3,61.5,58.4,59.3,56.8,59.9,60.7,61.2,61.4
U,62.5,57.8,58.8,66.0,63.6,52.4,68.4,63.7,59.3,63.4,63.5,60.4
