DPT,Age,ActCode,Status,Att
CSIS,18,Assessment,P,60.85345446
CSIS,18,ITLAB,AA,62.24443075
CSIS,18,ITLAB,ABS,60.78149029
CSIS,18,ITLAB,CC,62.69354855
CSIS,18,ITLAB,NM,48.27835051
CSIS,18,ITLAB,P,63.39848537
CSIS,18,ITLAB,PDG,60.36898966
CSIS,18,ITLAB,PWR,61.80209982
CSIS,18,LEC,AA,60.1970124
CSIS,18,LEC,ABS,60.22824487
CSIS,18,LEC,CC,61.97862802
CSIS,18,LEC,NM,55.84856639
CSIS,18,LEC,O,75.61576355
CSIS,18,LEC,P,62.34121219
CSIS,18,LEC,PWR,61.52627472
CSIS,18,PRES,ABS,60.48379762
CSIS,18,PRES,P,60.85345446
CSIS,18,SEM,AA,60.29616996
CSIS,18,SEM,ABS,57.57583225
CSIS,18,SEM,NM,46.73913043
CSIS,18,SEM,P,57.50413959
CSIS,18,SEM,PDG,58.52507204
CSIS,18,SEM,PWR,60.57896502
CSIS,18,STUDIO,AA,60.57896502
CSIS,18,STUDIO,ABS,59.82612992
CSIS,18,STUDIO,CC,60.57896502
CSIS,18,STUDIO,P,58.32045972
CSIS,18,STUDIO,PDG,59.07329482
CSIS,18,#N/A,AA,60.85345446
CSIS,18,#N/A,ABS,60.82246372
CSIS,18,#N/A,NM,68.35686778
CSIS,18,#N/A,P,60.81424168
CSIS,18,#N/A,PDG,68.35686778
CSIS,19,Assessment,ABS,60.11414077
CSIS,19,Assessment,P,60.85345446
CSIS,19,Assessment,PDG,60.85345446
CSIS,19,ITLAB,AA,65.65202732
CSIS,19,ITLAB,ABS,62.37206673
CSIS,19,ITLAB,CC,60.57896502
CSIS,19,ITLAB,NM,59.0419068
CSIS,19,ITLAB,P,63.32566111
CSIS,19,ITLAB,PDG,60.05370362
CSIS,19,ITLAB,PWR,61.95616697
CSIS,19,ITLAB,U,66.17078647
CSIS,19,LEC,AA,63.29272379
CSIS,19,LEC,ABS,61.46296608
CSIS,19,LEC,CC,61.23630773
CSIS,19,LEC,NM,59.95542415
