DPT,Course_Name,Age,Gender,Status,Grade,Course_att,Mark
CSIS,BA (Hons) Web and Multimedia,18,M,ABS,F,59.7972973,30
CSIS,BA (Hons) Web and Multimedia,18,M,P,F,59.7972973,30
CSIS,BA (Hons) Web and Multimedia,18,M,PWR,F,59.7972973,30
CSIS,BA (Hons) Web and Multimedia,20,F,AA,A,59.7972973,87
CSIS,BA (Hons) Web and Multimedia,20,F,ABS,A,59.7972973,80.46153846
CSIS,BA (Hons) Web and Multimedia,20,F,ABS,B,59.7972973,65
CSIS,BA (Hons) Web and Multimedia,20,F,NM,A,59.7972973,87
CSIS,BA (Hons) Web and Multimedia,20,F,NM,B,59.7972973,65
CSIS,BA (Hons) Web and Multimedia,20,F,P,A,59.7972973,79.775
CSIS,BA (Hons) Web and Multimedia,20,F,P,B,59.7972973,65
CSIS,BA (Hons) Web and Multimedia,20,F,PWR,A,59.7972973,70
CSIS,BA (Hons) Web and Multimedia,21,F,AA,A,59.7972973,72
CSIS,BA (Hons) Web and Multimedia,21,F,AA,B,59.7972973,64.5
CSIS,BA (Hons) Web and Multimedia,21,F,AA,C,59.7972973,51
CSIS,BA (Hons) Web and Multimedia,21,F,AA,F,59.7972973,37
CSIS,BA (Hons) Web and Multimedia,21,F,ABS,A,59.7972973,70.96
CSIS,BA (Hons) Web and Multimedia,21,F,ABS,B,59.7972973,63.67741935
CSIS,BA (Hons) Web and Multimedia,21,F,ABS,C,59.7972973,51
CSIS,BA (Hons) Web and Multimedia,21,F,ABS,F,59.7972973,37
CSIS,BA (Hons) Web and Multimedia,21,F,NM,A,59.7972973,71
CSIS,BA (Hons) Web and Multimedia,21,F,NM,B,59.7972973,62
CSIS,BA (Hons) Web and Multimedia,21,F,P,A,59.7972973,71
CSIS,BA (Hons) Web and Multimedia,21,F,P,B,59.7972973,62.14285714
CSIS,BA (Hons) Web and Multimedia,21,F,P,C,59.7972973,51
CSIS,BA (Hons) Web and Multimedia,21,F,P,F,59.7972973,37
CSIS,BA (Hons) Web and Multimedia,21,F,PWR,B,59.7972973,62
CSIS,BA (Hons) Web and Multimedia,21,F,PWR,C,59.7972973,51
CSIS,BSc (Hons) Computer Games Programming,18,F,AA,B,60.57896502,64
CSIS,BSc (Hons) Computer Games Programming,18,F,AA,C,60.57896502,57
CSIS,BSc (Hons) Computer Games Programming,18,F,AA,F,60.57896502,26.55555556
CSIS,BSc (Hons) Computer Games Programming,18,F,ABS,A,60.57896502,75.66666667
CSIS,BSc (Hons) Computer Games Programming,18,F,ABS,B,60.57896502,63.28571429
CSIS,BSc (Hons) Computer Games Programming,18,F,ABS,C,60.57896502,57
CSIS,BSc (Hons) Computer Games Programming,18,F,ABS,F,60.57896502,16.2625
CSIS,BSc (Hons) Computer Games Programming,18,F,CC,A,60.57896502,73
CSIS,BSc (Hons) Computer Games Programming,18,F,CC,B,60.57896502,64
CSIS,BSc (Hons) Computer Games Programming,18,F,CC,F,60.57896502,34
CSIS,BSc (Hons) Computer Games Programming,18,F,P,A,60.57896502,77.63157895
CSIS,BSc (Hons) Computer Games Programming,18,F,P,B,60.57896502,63.60416667
CSIS,BSc (Hons) Computer Games Programming,18,F,P,C,60.57896502,57
CSIS,BSc (Hons) Computer Games Programming,18,F,P,F,60.57896502,17.83928571
CSIS,BSc (Hons) Computer Games Programming,18,F,PDG,A,60.57896502,73
CSIS,BSc (Hons) Computer Games Programming,18,F,PDG,B,60.57896502,64
CSIS,BSc (Hons) Computer Games Programming,18,F,PDG,F,60.57896502,25
CSIS,BSc (Hons) Computer Games Programming,18,F,PWR,B,60.57896502,64
CSIS,BSc (Hons) Computer Games Programming,18,F,PWR,C,60.57896502,57
CSIS,BSc (Hons) Computer Games Programming,18,F,PWR,F,60.57896502,25
CSIS,BSc (Hons) Computer Games Programming,18,M,AA,D,60.57896502,46
CSIS,BSc (Hons) Computer Games Programming,18,M,ABS,A,60.57896502,77.12631579
CSIS,BSc (Hons) Computer Games Programming,18,M,ABS,B,60.57896502,64.71232877
CSIS,BSc (Hons) Computer Games Programming,18,M,ABS,C,60.57896502,54.18181818
CSIS,BSc (Hons) Computer Games Programming,18,M,ABS,D,60.57896502,41.76923077
CSIS,BSc (Hons) Computer Games Programming,18,M,CC,A,60.57896502,76
CSIS,BSc (Hons) Computer Games Programming,18,M,CC,B,60.57896502,64.5
CSIS,BSc (Hons) Computer Games Programming,18,M,CC,C,60.57896502,56
CSIS,BSc (Hons) Computer Games Programming,18,M,CC,D,60.57896502,41
CSIS,BSc (Hons) Computer Games Programming,18,M,P,A,60.57896502,78.03539823
CSIS,BSc (Hons) Computer Games Programming,18,M,P,B,60.57896502,65.7
